category_id,category_name,AP@[.50:.95],AP@.50,AP@.75,AP_small,AP_medium,AP_large,AR@1,AR@10,AR@100,AR_small,AR_medium,AR_large
1,CAPTION,0.38833312638663864,0.43643477913227846,0.43643477913227846,0.6999999999999998,0.3915321927391504,0.45445544554455436,0.24150943396226418,0.4849056603773586,0.4849056603773586,0.7,0.48200000000000004,0.45
2,FOOTNOTE,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0
3,FORMULA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,LIST-ITEM,0.7702364221606525,0.888641359240309,0.8669733811607124,0.6367907752313693,0.6899861701165766,0.8894212566064464,0.12470588235294118,0.7117647058823529,0.7905882352941177,0.6666666666666667,0.7166666666666667,0.904225352112676
5,PAGE-FOOTER,0.3954700758988771,0.7192967157595531,0.47535349088751333,0.4417811511386898,0.33313047427997217,0.0,0.43595505617977526,0.5207865168539326,0.5207865168539326,0.5511627906976744,0.4595744680851063,0.0
6,PAGE-HEADER,0.3425772961533374,0.5540538745515556,0.3124151762646263,0.3311122526231117,0.39928868307582466,0.26592409240924086,0.4542553191489363,0.48936170212765956,0.48936170212765956,0.4025,0.5931818181818183,0.38
7,PICTURE,0.7892859895480197,0.8653862780956112,0.8222068279444825,-1.0,0.7822168664234843,0.7945220813016938,0.4022727272727272,0.8431818181818181,0.853409090909091,-1.0,0.8,0.8602564102564102
8,SECTION-HEADER,0.4965890832687537,0.6672886796207915,0.6214321121972973,0.253028424707428,0.6071513766964589,0.7411971113767855,0.20896686159844052,0.5680311890838207,0.5875243664717349,0.32280701754385965,0.7061224489795919,0.8041666666666666
9,TABLE,0.7177469469093459,0.80404565370271,0.7285014480711797,-1.0,0.05672442244224423,0.7391327550166864,0.573103448275862,0.7551724137931035,0.7551724137931035,-1.0,0.26,0.7728571428571429
10,TEXT,0.79591011138545,0.8868530728057745,0.8102269341526506,0.12281467244468806,0.46226361297858876,0.9322968301882208,0.11633126934984521,0.666795665634675,0.8319659442724457,0.1565217391304348,0.652685421994885,0.9502923976608187
11,TITLE,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
